"spid","CCNAME","DNAME","CLNAME","FEACODE","SAREA","EFEACODE","CCODE","DCODE","CLCODE","EACODE","TOTAL","MALE","FEMALE","HH","CCODE1","DCODE1","CLCODE1","EACODE1","geometry","X","Y","d"
12,"Montserrado","Greater Monrovia","Z500 Lynch / Center Streets","300406071","SA04","3004506071",30,4,506,71,839,399,440,182,"30","04","506","071",c(-10.8082912214173, 6.30885933189623),-10.8082912214173,6.30885933189623,0.0370348598335263
13,"Montserrado","Greater Monrovia","Z1100 Double Bridge","300424021","SA064","3004574021",30,4,574,21,450,201,249,91,"30","04","574","021",c(-10.7283586522995, 6.31131295640497),-10.7283586522995,6.31131295640497,0.221211086049117
13,"Montserrado","Greater Monrovia","Z1100 Double Bridge","300424031","SA064","3004574031",30,4,574,31,713,347,366,128,"30","04","574","031",c(-10.7281278305279, 6.30961820307503),-10.7281278305279,6.30961820307503,0.220606506186143
13,"Montserrado","Greater Monrovia","Z1100 Double Bridge","300424051","SA064","3004574051",30,4,574,51,940,491,449,153,"30","04","574","051",c(-10.7258416987905, 6.30843094107634),-10.7258416987905,6.30843094107634,0.0676395710844125
14,"Montserrado","Greater Monrovia","Z1100 City View","300428041","SA060","3004578041",30,4,578,41,364,171,193,67,"30","04","578","041",c(-10.7018061696939, 6.31185613380774),-10.7018061696939,6.31185613380774,0.307881731909528
14,"Montserrado","Greater Monrovia","Z1100 Pipeline B","300430021","SA058","3004580021",30,4,580,21,511,241,270,91,"30","04","580","021",c(-10.697819775113, 6.3091920601087),-10.697819775113,6.3091920601087,0.280337335466413
14,"Montserrado","Greater Monrovia","Z1100 Neezoe","300416171","SA076","3004566171",30,4,566,171,566,282,284,126,"30","04","566","171",c(-10.7006575134888, 6.30864603767952),-10.7006575134888,6.30864603767952,0.100190401997622
15,"Montserrado","Greater Monrovia","Z1100 Barnard Farm","300432071","SA054","3004582071",30,4,582,71,569,272,297,103,"30","04","582","071",c(-10.6719736973165, 6.31309056786023),-10.6719736973165,6.31309056786023,0.418324114607048
15,"Montserrado","Greater Monrovia","Z1100 Barnard Farm","300432081","SA054","3004582081",30,4,582,81,695,333,362,118,"30","04","582","081",c(-10.673527320146, 6.31108939558271),-10.673527320146,6.31108939558271,0.231526459684456
15,"Montserrado","Greater Monrovia","Z1100 Morris Farm","300412071","SA093","3004562071",30,4,562,71,401,189,212,59,"30","04","562","071",c(-10.6749223897254, 6.30839389564015),-10.6749223897254,6.30839389564015,0.181658401952868
16,"Montserrado","Greater Monrovia","Z1100 Kemah Town/Omega","300425051","SA052","3004575051",30,4,575,51,346,168,178,55,"30","04","575","051",c(-10.6584108473118, 6.31474417663035),-10.6584108473118,6.31474417663035,1.49637272098696
16,"Montserrado","Greater Monrovia","Z1100 Kemah Town/Omega","300425061","SA051","3004575061",30,4,575,61,1239,585,654,193,"30","04","575","061",c(-10.6522907749358, 6.30992002983085),-10.6522907749358,6.30992002983085,1.28270732107894
16,"Montserrado","Greater Monrovia","Z1100 Kemah Town/Omega","300425071","SA051","3004575071",30,4,575,71,400,203,197,69,"30","04","575","071",c(-10.65192362314, 6.29955398308047),-10.65192362314,6.29955398308047,0.703494676280688
17,"Montserrado","Greater Monrovia","Z300 Peugeot Garage","300408051","SA11","3004308051",30,4,308,51,514,261,253,121,"30","04","308","051",c(-10.7958260675649, 6.33362650673506),-10.7958260675649,6.33362650673506,0.145300406515097
17,"Montserrado","Greater Monrovia","Z300 Peugeot Garage","300408071","SA11","3004308071",30,4,308,71,343,159,184,82,"30","04","308","071",c(-10.7965121854908, 6.33309747154535),-10.7965121854908,6.33309747154535,0.110522982243478
17,"Montserrado","Greater Monrovia","Z300 Peugeot Garage","300408061","SA11","3004308061",30,4,308,61,717,359,358,192,"30","04","308","061",c(-10.7947441014636, 6.33197967123652),-10.7947441014636,6.33197967123652,0.0730946989346269
18,"Montserrado","Greater Monrovia","Z1300 Iron Factory","300403011","SA05","3004753011",30,4,753,11,510,246,264,104,"30","04","753","011",c(-10.7663339974544, 6.33419268488153),-10.7663339974544,6.33419268488153,0.253904348672552
18,"Montserrado","Greater Monrovia","Z1300 Topoe Village","300401101","SA19","3004751101",30,4,751,101,534,262,272,115,"30","04","751","101",c(-10.7683763301776, 6.33466577094158),-10.7683763301776,6.33466577094158,0.179504760925544
18,"Montserrado","Greater Monrovia","Z1300 Topoe Village","300401111","SA19","3004751111",30,4,751,111,232,116,116,54,"30","04","751","111",c(-10.7691778329267, 6.33325684395569),-10.7691778329267,6.33325684395569,0.0977315452227752
19,"Montserrado","Greater Monrovia","Z1200 J.E Marshall","300402031","SA12","3004652031",30,4,652,31,682,345,337,105,"30","04","652","031",c(-10.743209644044, 6.33398870337978),-10.743209644044,6.33398870337978,0.253074233967027
19,"Montserrado","Greater Monrovia","Z1200 J.E Marshall","300402021","SA12","3004652021",30,4,652,21,501,178,323,69,"30","04","652","021",c(-10.7407706008791, 6.33391227278242),-10.7407706008791,6.33391227278242,0.198378665034854
19,"Montserrado","Greater Monrovia","Z1200 J.E Marshall","300402011","SA12","3004652011",30,4,652,11,709,355,354,142,"30","04","652","011",c(-10.7396306203302, 6.33205472764965),-10.7396306203302,6.33205472764965,0.103831441047695
20,"Montserrado","Greater Monrovia","Z1200 Chicken Soup Factory","30041239","SA18","3004662391",30,4,662,391,272,141,131,49,"30","04","662","391",c(-10.7151891917106, 6.33870107506315),-10.7151891917106,6.33870107506315,0.640919323268369
20,"Montserrado","Greater Monrovia","Z1200 Chicken Soup Factory","30041237","SA18","3004662371",30,4,662,371,751,350,401,132,"30","04","662","371",c(-10.7170880042207, 6.33256866832012),-10.7170880042207,6.33256866832012,0.614209581487599
20,"Montserrado","Greater Monrovia","Z1100 Rock Hill","300426171","SA061","3004576171",30,4,576,171,530,261,269,87,"30","04","576","171",c(-10.7137788507148, 6.32749162076848),-10.7137788507148,6.32749162076848,0.353068812253306
21,"Montserrado","Greater Monrovia","Z1100 Pipeline B","300430171","SA055","3004580171",30,4,580,171,395,191,204,57,"30","04","580","171",c(-10.6953261165756, 6.32714326526754),-10.6953261165756,6.32714326526754,1.15265590905831
21,"Montserrado","Greater Monrovia","Z1100 Pipeline B","300430181","SA055","3004580181",30,4,580,181,452,205,247,60,"30","04","580","181",c(-10.6910544169232, 6.32582129144363),-10.6910544169232,6.32582129144363,0.930570255457886
21,"Montserrado","Greater Monrovia","Z1100 Barnard Farm","300432111","SA054","3004582111",30,4,582,111,843,405,438,137,"30","04","582","111",c(-10.6817344695318, 6.3273305910217),-10.6817344695318,6.3273305910217,0.840053366774983
22,"Montserrado","Greater Monrovia","Z1100 Kemah Town/Omega","300425011","SA052","3004575011",30,4,575,11,365,194,171,59,"30","04","575","011",c(-10.6538707072324, 6.33079073243446),-10.6538707072324,6.33079073243446,1.13627107958491
22,"Montserrado","Greater Monrovia","Z1100 Barnard Farm","300432011","SA053","3004582011",30,4,582,11,631,336,295,119,"30","04","582","011",c(-10.6628870326297, 6.33256180833707),-10.6628870326297,6.33256180833707,0.675384812221846
22,"Montserrado","Greater Monrovia","Z1100 Barnard Farm","300432021","SA053","3004582021",30,4,582,21,813,419,394,145,"30","04","582","021",c(-10.6697040207149, 6.33454242996996),-10.6697040207149,6.33454242996996,0.373671052676079
23,"Montserrado","Greater Monrovia","Z200 Central Logan Town","300410101","SA25","3004210101",30,4,210,101,387,197,190,88,"30","04","210","101",c(-10.7828282016116, 6.35679332039191),-10.7828282016116,6.35679332039191,0.103113842219315
23,"Montserrado","Greater Monrovia","Z200 Central Logan Town","300410041","SA24","3004210041",30,4,210,41,307,151,156,80,"30","04","210","041",c(-10.7811762895129, 6.35668829136009),-10.7811762895129,6.35668829136009,0.0858858849273544
23,"Montserrado","Greater Monrovia","Z200 Central Logan Town","300410051","SA25","3004210051",30,4,210,51,307,143,164,68,"30","04","210","051",c(-10.7818150691465, 6.35582449481438),-10.7818150691465,6.35582449481438,0.0826850200125683
24,"Montserrado","Greater Monrovia","Z1300 Old Field Gulf/Sign Boar","300410061","SA17","3004760061",30,4,760,61,355,177,178,64,"30","04","760","061",c(-10.7522105363045, 6.35817030452568),-10.7522105363045,6.35817030452568,0.328153896551876
24,"Montserrado","Greater Monrovia","Z1300 Old Field Gulf/Sign Boar","300410021","SA16","3004760021",30,4,760,21,524,252,272,93,"30","04","760","021",c(-10.7550673660053, 6.35699619200802),-10.7550673660053,6.35699619200802,0.21620285570409
24,"Montserrado","Greater Monrovia","Z1300 Old Field Gulf/Sign Boar","300410071","SA17","3004760071",30,4,760,71,474,221,253,78,"30","04","760","071",c(-10.7529214568522, 6.35583843929694),-10.7529214568522,6.35583843929694,0.0584954114118926
25,"Montserrado","Greater Monrovia","Z1400 Johnsonville Road B
","300404061","SA03","3004854061",30,4,854,61,720,341,379,121,"30","04","854","061",c(-10.7281697548489, 6.36095402019449),-10.7281697548489,6.36095402019449,0.48730709905813
25,"Montserrado","Greater Monrovia","Z1400 Johnsonville Road B
","300404041","SA03","3004854041",30,4,854,41,754,349,405,133,"30","04","854","041",c(-10.7290495190262, 6.35723807582075),-10.7290495190262,6.35723807582075,0.429236249538276
25,"Montserrado","Greater Monrovia","Z1400 Johnsonville Road B
","300404031","SA03","3004854031",30,4,854,31,612,287,325,112,"30","04","854","031",c(-10.7307469534965, 6.35442549820363),-10.7307469534965,6.35442549820363,0.18261975347782
26,"Montserrado","Greater Monrovia","Z100 Lagoon West","300407011","SA25","3004107011",30,4,107,11,416,208,208,81,"30","04","107","011",c(-10.7968315911438, 6.37873702616943),-10.7968315911438,6.37873702616943,0.268332295057381
26,"Montserrado","Greater Monrovia","Z100 Lagoon West","300407061","SA25","3004107061",30,4,107,61,495,238,257,122,"30","04","107","061",c(-10.7945617769987, 6.3785335908789),-10.7945617769987,6.3785335908789,0.21324181573019
26,"Montserrado","Greater Monrovia","Z100 Lagoon West","300407071","SA25","3004107071",30,4,107,71,373,170,203,98,"30","04","107","071",c(-10.7944272521954, 6.37797623910604),-10.7944272521954,6.37797623910604,0.207062329884286
